Job Title,Company Name,Salary,Location,Job Description,Skills,job_link
Quality Executive||FMCG||2-4 yrs||Bangalore||Mumbai||Hyderabad||Pune,TeamLease,2-4 Lacs PA,"Hyderabad, Bengaluru, Mumbai (All Areas)","Education Qualification: Graduate in Agriculture, Horticulture, Post-harvest, Food Tech...","Vegetables, Fruit, Quality Check, Agriculture, LIFO, training, GMP, FIFO",https://www.naukri.com/job-listings-quality-executive-fmcg-2-4-yrs-bangalore-mumbai-hyderabad-pune-teamlease-services-hyderabad-bengaluru-mumbai-all-areas-2-to-5-years-100424005085
Portfolio Architect NOI Netcool,Tata Consultancy Services (TCS),Not disclosed,"Bangalore Rural, Delhi / NCR, Mumbai (All Areas)",Required Domain Knowledge. Should be able to understand the Product Roadmap or any new ...,"Fault Management domain, solutioning, Product Roadmap, Portfolio, Architecture, Netcool, DNS, Noi",https://www.naukri.com/job-listings-portfolio-architect-noi-netcool-tata-consultancy-services-tcs-bangalore-rural-delhi-ncr-mumbai-all-areas-8-to-13-years-020124006471
Technical Architect,Tata Consultancy Services (TCS),Not disclosed,"Chennai, Bengaluru, Mumbai (All Areas)",Greetings from TCS!!TCS is hiring for Technical Architect role.Experience: 10-15 yearsL...,"Sast, Dast, Technical Architecture, Technical, Architecture",https://www.naukri.com/job-listings-technical-architect-tata-consultancy-services-tcs-chennai-bengaluru-mumbai-all-areas-10-to-15-years-260424007056
Technical Sales Executive (Coatings),AkzoNobel,Not disclosed,"Bengaluru, Mumbai (All Areas)",Preferred candidate profile :Any Post Graduate is preferred . .,"Customer Service, Sales, technical sales, business development, B2B Sales, key account management, Key, Management",https://www.naukri.com/job-listings-technical-sales-executive-coatings-akzo-nobel-india-limited-bengaluru-mumbai-all-areas-3-to-8-years-250424910139
Technical in Network and ICT,Fine Tours & Travels,4-6 Lacs PA,"Chennai, Bengaluru, Mumbai (All Areas)",Gender preference: Males. - Ability to work with a UTP and fiber cablesEducation: - App...,"ICT, UTP, trunks, flex pipes, ducts, Fiber, fiber cables, EMT pipes",https://www.naukri.com/job-listings-technical-in-network-and-ict-fine-tours-travels-chennai-bengaluru-mumbai-all-areas-0-to-1-years-240424010855
GN-Industrial- SAP Platforms - Analyst,Accenture,Not disclosed,"Mumbai, Gurugram, Delhi / NCR",Be responsible for integration with different ERP Solutions including SAP and create pr...,"sd, project management, sap, ibp, ewm, cif, freight, sap sd",https://www.naukri.com/job-listings-gn-industrial-sap-platforms-analyst-accenture-solutions-pvt-ltd-mumbai-gurugram-delhi-ncr-2-to-7-years-230424905087
Workday HCM Architect,EY,15-20 Lacs PA,"Hybrid - Bengaluru, Mumbai (All Areas)",Work closely with business stakeholders to understand their needs and develop solutio...,"HCM Integration, Workday Functional, Workday Hcm, Workday Technical, Workday, Technical, Architecture, Integration",https://www.naukri.com/job-listings-workday-hcm-architect-ey-bengaluru-mumbai-all-areas-8-to-13-years-230424007681
Senior Integration Analyst-Workday,EY,4-8 Lacs PA,"Hybrid - Bengaluru, Mumbai (All Areas)",". Current or Past Workday Studio Integration Certification1+ years Workday experience, ...","Custom Reports, Workday Integration, Core Connector, Workday Studio, Eib, Reporting, Integration, Custom",https://www.naukri.com/job-listings-senior-integration-analyst-workday-ey-bengaluru-mumbai-all-areas-3-to-7-years-230424007555
Data Center,Capgemini,Not disclosed,"Bangalore Rural, Mumbai (All Areas)","Experience in installation, configuration, testing and troubleshooting and / or Network...","Cisco ACI, Nexus 9K, Routing And Switching, Data, Switching, Center, Cisco, Nexus",https://www.naukri.com/job-listings-data-center-capgemini-bangalore-rural-mumbai-all-areas-4-to-7-years-220424000976
Corporate Relationship Executive,upGrad,1-4.5 Lacs PA,"Noida, Bangalore Rural, Mumbai (All Areas)","Fresh MBA Grads Welcomed / Bachelors in Business Administration, Business Management Pr...","Corporate Tie-ups, Tpo, Corporate Relations, Corporate Relation, Placement, Placement Coordination, Training And Placement, Corporate Relationship Management",https://www.naukri.com/job-listings-corporate-relationship-executive-upgrad-noida-bangalore-rural-mumbai-all-areas-0-to-4-years-200424002919
Business Tax Manager,US CPA FIRM,Not disclosed,"Hybrid - Bengaluru, Mumbai (All Areas)","Reviews, research findings, tax returns and work paper, formulates conclusions consiste...","1065, 1120, Corporate Taxation, Federal Tax, Partnership Tax, Corporate, Taxation, Management",https://www.naukri.com/job-listings-business-tax-manager-metaphor-infotech-bengaluru-mumbai-all-areas-8-to-12-years-170424004879
HNI Manager,us cpa firm,Not disclosed,"Hybrid - Bengaluru, Mumbai (All Areas)","Have good understanding of various foreign forms such as 8621, 926, 8865, 8886, 8938 et...","Individual Taxation, HNI, 1040, Management, Taxation",https://www.naukri.com/job-listings-hni-manager-metaphor-infotech-bengaluru-mumbai-all-areas-8-to-13-years-170424004746
Digital Category Lead - Sell Side @ Croma,Croma,Not disclosed,"Hybrid - Bengaluru, Mumbai (All Areas)",Bachelors degree minimumLeadership experience in consumer electronics categories in e-c...,"Category Management, E-commerce, Stock Planning, adobe analytics, flash sales, Business Development, Competitive Analysis, flash",https://www.naukri.com/job-listings-digital-category-lead-sell-side-croma-croma-bengaluru-mumbai-all-areas-9-to-14-years-130723007830
Senior Associate - Market Risk Quant,PwC Service Delivery Center,Not disclosed,"Bangalore Rural, Karnataka, Mumbai (All Areas)","Requirements: . Must hold a Masters or PhD degree in Mathematics, Statistics, Financial...","Market Risk, Pricing, Model Validation, Python, Valuation, VAR, FRTB, Model Development",https://www.naukri.com/job-listings-senior-associate-market-risk-quant-pwc-service-delivery-center-bangalore-rural-karnataka-mumbai-all-areas-3-to-8-years-020424005229
Business Analyst - Investment Banking Domain,Capco,Not disclosed,"Hybrid - Bengaluru, Mumbai (All Areas)","About UsCapco, a Wipro company, is a global technology and management consulting firm....","Investment Banking, Brd, FRD, Business analayst, Capital Market, Regulatory Reporting, Reference Data, Mifid",https://www.naukri.com/job-listings-business-analyst-investment-banking-domain-capco-bengaluru-mumbai-all-areas-6-to-11-years-020424003944
S&C Global Network - AI - Resources - Data Science Analyst,Accenture,Not disclosed,Mumbai,Entity:- Accenture Strategy & ConsultingTeam:- Global Network Data & AIPractice:- Resou...,"advanced analytics, data mining, machine learning, artificial intelligence, data science, python, data analysis, natural language processing",https://www.naukri.com/job-listings-s-c-global-network-ai-resources-data-science-analyst-accenture-solutions-pvt-ltd-mumbai-2-to-5-years-260424909408
S&C Global Network - AI - Retail Analytics - Consultant,Accenture,Not disclosed,Mumbai,"Youll work with Accentures certified AWS / Azure/GCP practitioners, and Accenture will ...","cnn, data analysis, natural language processing, machine learning, quantitative analysis, python, neural networks, artificial intelligence",https://www.naukri.com/job-listings-s-c-global-network-ai-retail-analytics-consultant-accenture-solutions-pvt-ltd-mumbai-5-to-10-years-260424909040
DMart - Circle HR Manager,DMart,Not disclosed,"Rajkot, Aurangabad, Mumbai (All Areas)",. Education : Any Post Graduate / LLB / MSW.  -Must have sound knowledge of HR policies...,"Grievance Handling, Employee Engagement, Statutory Compliance, Recruitment, Training, PMS, Hrsd, Statutory",https://www.naukri.com/job-listings-dmart-circle-hr-manager-dmart-rajkot-aurangabad-mumbai-all-areas-9-to-14-years-260424005729
S&C Global Network - AI - Resources - Data Science Consultant,Accenture,Not disclosed,Mumbai,"Bachelors / Masters degree in Mathematics, Statistics, Economics, Computer Science, or ...","presentation skills, power bi, statistical modeling, data visualization, machine learning algorithms, python, data analysis, scala",https://www.naukri.com/job-listings-s-c-global-network-ai-resources-data-science-consultant-accenture-solutions-pvt-ltd-mumbai-5-to-9-years-250424913641
S&C Global Network - AI - Retail Analytics - Consultant,Accenture,Not disclosed,Mumbai,Entity:- Accenture Strategy & ConsultingTeam:- Global Network Data & AIPractice:- Retai...,"retail, cpg, github, data analysis, machine learning, hive, pyspark, data warehousing",https://www.naukri.com/job-listings-s-c-global-network-ai-retail-analytics-consultant-accenture-solutions-pvt-ltd-mumbai-4-to-8-years-250424912823
S&C Global Network - AI - Resources - Data Science Analyst,Accenture,Not disclosed,Mumbai,"Bachelors / Masters degree in Mathematics, Statistics, Economics, Computer Science, or ...","scala, gen, statistical modeling, vector, machine learning algorithms, advanced analytics, python, data analysis",https://www.naukri.com/job-listings-s-c-global-network-ai-resources-data-science-analyst-accenture-solutions-pvt-ltd-mumbai-2-to-5-years-250424912697
S&C Global Network - AI - Retail Analytics - Manager,Accenture,Not disclosed,Mumbai,"Bachelors or Masters degree in Statistics, Economics, Mathematics, Computer Science, or...","github, python, data analysis, machine learning, retail analytics, hive, pyspark, data warehousing",https://www.naukri.com/job-listings-s-c-global-network-ai-retail-analytics-manager-accenture-solutions-pvt-ltd-mumbai-8-to-12-years-250424906687
Process Associate- Finance and Administration Delivery,IBM,Not disclosed,Bengaluru,Required Technical and Professional Expertise . Minimum 0-1 year work experience in Fin...,"accounts receivable, accounts payable, accounting, agile, finance, profitability, fixed assets, transaction processing",https://www.naukri.com/job-listings-process-associate-finance-and-administration-delivery-ibm-india-pvt-limited-bengaluru-0-to-1-years-290424902766
Executive/Senior Executive- ASOC,Securitas,Not disclosed,Bengaluru,Support to be extended by generating the Access Control System reports while investigat...,"Printing, Career development, Crisis management, Reconciliation, MS Office, Security operations, Open source, Operations",https://www.naukri.com/job-listings-executive-senior-executive-asoc-securitas-pvt-ltd-bengaluru-0-to-2-years-290424500577
Merchant Experience Specialist - PG,Phonepe,Not disclosed,Bengaluru,"We are looking for specialists for the Inhouse Customer Experience teamAs a specialist,...","Intern, Mutual funds, Leasing, Flex, Medical insurance, Customer experience, Management, Financial services",https://www.naukri.com/job-listings-merchant-experience-specialist-pg-phonepe-bengaluru-0-to-2-years-290424500269
Advisor - Social Media,Phonepe,Not disclosed,Bengaluru,"We are looking for specialists for the Inhouse Customer Experience teamAs a specialist,...","Intern, Social media, Mutual funds, Leasing, Medical insurance, Customer experience, Management, Financial services",https://www.naukri.com/job-listings-advisor-social-media-phonepe-bengaluru-0-to-2-years-290424500267
Urgent hiring-Technical support-International voice process-Techm,Tech Mahindra,2.25-4.5 Lacs PA,Bengaluru,HIRING FOR SERVICE DESK - BANGALORE PLEASE DROP YOUR RESUME ON MY WHATSAPP - HR Marina ...,"VPN Configuration, Ticketing Tools, Service Desk, Active Directory, Service Now Ticketing, 0365, Servicenow, Desk",https://www.naukri.com/job-listings-urgent-hiring-technical-support-international-voice-process-techm-tech-mahindra-bengaluru-0-to-5-years-290424003037
Opportunity For Inside Sales: Business Development Specialist,Simplilearn,3.5-5 Lacs PA,Bengaluru(HSR Layout +1),Shift - Day ShiftExperience - 6 months to 2 years. Qualification - Graduation (Technica...,"Inside Sales, Admission Counselling, Educational Sales, B2C Sales, Telesales, Education Counseling, Overseas Education, Sales",https://www.naukri.com/job-listings-opportunity-for-inside-sales-business-development-specialist-simplilearn-bengaluru-0-to-4-years-290424002822
Customer Care Executive,Teleperformance (TP),2-2.5 Lacs PA,Bengaluru(Jalahalli +6),Day Rotational ShiftBoth 2nd puc and Graduate can applyShould have excellent communicat...,"Malayalam, Tamil Voice Process, Outbound Calling, Calling, Process, Voice process, Outbound, Customer care",https://www.naukri.com/job-listings-customer-care-executive-teleperformance-tp-bengaluru-0-to-0-years-290424001889
